"common.name","taxon.type","scientific.name"
"Black-bellied Whistling-Duck","species","Dendrocygna autumnalis"
"Fulvous Whistling-Duck","species","Dendrocygna bicolor"
"Ross's Goose","species","Anser rossii"
"Pink-footed Goose","species","Anser brachyrhynchus"
"Barnacle Goose","species","Branta leucopsis"
"Trumpeter Swan","species","Cygnus buccinator"
"Tundra Swan","species","Cygnus columbianus"
"Garganey","species","Spatula querquedula"
"Tufted Duck","species","Aythya fuligula"
"Steller's Eider","species","Polysticta stelleri"
"Willow Ptarmigan","species","Lagopus lagopus"
"Eared Grebe","species","Podiceps nigricollis"
"Western Grebe","species","Aechmophorus occidentalis"
"Clark's Grebe","species","Aechmophorus clarkii"
"Band-tailed Pigeon","species","Patagioenas fasciata"
"Eurasian Collared-Dove","species","Streptopelia decaocto"
"Chuck-will's-widow","species","Antrostomus carolinensis"
"Mexican Violetear","species","Colibri thalassinus"
"Calliope Hummingbird","species","Selasphorus calliope"
"Rufous Hummingbird","species","Selasphorus rufus"
"Broad-tailed Hummingbird","species","Selasphorus platycercus"
"King Rail","species","Rallus elegans"
"Clapper Rail","species","Rallus crepitans"
"Corn Crake","species","Crex crex"
"Yellow Rail","species","Coturnicops noveboracensis"
"Black-necked Stilt","species","Himantopus mexicanus"
"Northern Lapwing","species","Vanellus vanellus"
"European Golden-Plover","species","Pluvialis apricaria"
"Pacific Golden-Plover","species","Pluvialis fulva"
"Common Ringed Plover","species","Charadrius hiaticula"
"Wilson's Plover","species","Charadrius wilsonia"
"Snowy Plover","species","Charadrius nivosus"
"Whimbrel (European)","subspecies","Numenius phaeopus phaeopus"
"Long-billed Curlew","species","Numenius americanus"
"Bar-tailed Godwit","species","Limosa lapponica"
"Great Knot","species","Calidris tenuirostris"
"Surfbird","species","Calidris virgata"
"Ruff","species","Calidris pugnax"
"Curlew Sandpiper","species","Calidris ferruginea"
"Red-necked Stint","species","Calidris ruficollis"
"Dunlin (arctica)","subspecies","Calidris alpina arctica"
"Gray-tailed Tattler","species","Tringa brevipes"
"Ancient Murrelet","species","Synthliboramphus antiquus"
"Tufted Puffin","species","Fratercula cirrhata"
"Ivory Gull","species","Pagophila eburnea"
"Franklin's Gull","species","Leucophaeus pipixcan"
"Common Gull","species","Larus canus"
"Short-billed Gull","species","Larus brachyrhynchus"
"Iceland Gull (Thayer's)","subspecies","Larus glaucoides thayeri"
"Slaty-backed Gull","species","Larus schistisagus"
